transaction_id,account_id,transaction_type,amount,timestamp,merchant,location
31,148,credit,10234.28,2023-05-29 14:44:38,Moore-Hall,North Nancyfort
32,227,debit,14826.15,2023-12-27 03:30:46,"Hamilton, Hernandez and Mendoza",Costashire
33,244,credit,10164.14,2025-02-13 02:08:55,White-Lopez,Lake Jacobmouth
34,201,credit,8868.65,2023-02-24 20:34:18,Lopez Group,North Crystal
35,154,credit,2606.01,2023-11-14 06:08:05,"White, Campbell and Collins",Port Jeremystad
36,73,credit,10360.24,2023-11-24 17:11:33,Roth Ltd,West Jamesbury
37,201,debit,4077.52,2024-01-04 04:33:44,"Lopez, Thomas and Simmons",Port Katherinechester
38,296,credit,25202.3,2024-03-27 01:26:50,Stout-Waller,Bakerville
39,17,debit,10605.08,2023-02-04 19:31:48,Ramsey and Sons,North Larrytown
40,129,debit,3259.79,2024-02-12 06:57:16,"Christensen, Smith and Garcia",New Ericaborough
41,217,credit,6404.16,2024-09-23 16:03:56,Smith-Serrano,Jacobchester
42,61,debit,18745.84,2024-12-05 04:05:23,"Michael, Anderson and Carrillo",East Lisa
43,104,credit,4086.66,2022-12-28 15:02:19,Thomas-Burton,Brownshire
44,42,debit,7453.68,2023-11-24 09:43:02,Sparks Inc,North Veronica
45,25,credit,11384.03,2023-07-27 04:51:19,Daniels LLC,Davidfurt
46,39,credit,14045.78,2024-07-10 07:34:21,"Miller, Taylor and Malone",Masseybury
47,291,debit,1910.3,2023-01-23 00:09:45,Ochoa-Parker,North Nicholas
48,131,credit,8327.59,2023-09-05 04:16:53,Moore-Brown,Brianside
49,229,credit,24326.93,2024-06-14 02:22:08,"Adams, Stephens and Smith",East Daniel
50,108,credit,34533.26,2023-08-05 19:18:02,Garcia LLC,South Christophermouth
51,172,credit,10675.35,2023-02-20 12:30:49,Hunt Group,New Lauraport
52,102,debit,41141.88,2022-12-14 01:36:53,Smith and Sons,Stevenview
53,12,debit,8456.81,2022-10-03 06:55:00,Perez Group,West Kathrynshire
54,275,debit,5844.81,2023-10-10 12:06:08,Gomez LLC,Anthonyland
55,101,credit,8020.42,2024-03-04 10:21:30,Dorsey Ltd,North Mckenziemouth
56,44,debit,1229.73,2025-02-26 15:08:55,Mcdaniel-Espinoza,Wisebury
57,17,credit,5136.9,2024-04-26 05:24:28,Vasquez Inc,Ericchester
58,57,credit,6132.37,2023-08-06 08:24:05,Garcia LLC,West Carly
59,12,credit,18880.14,2023-03-21 18:14:58,Jones-Cook,South Laurenbury
60,80,debit,14215.01,2023-12-07 07:54:24,Mclean-Gillespie,Ianville
61,216,debit,9198.64,2024-12-30 01:56:54,Munoz and Sons,Lake Sierra
62,264,debit,4266.03,2023-11-14 11:04:19,Moreno-Greene,Lake Jacob
63,149,debit,2070.67,2023-05-07 13:44:34,"Coleman, Barry and Mcdaniel",Mendozaville
64,81,credit,4273.5,2023-03-21 04:55:49,"Roth, Bailey and Garcia",South Robertchester
65,215,debit,11388.22,2024-08-28 16:54:01,Stanley-Cantu,East Kennethburgh
66,198,debit,3052.19,2024-09-23 06:32:51,"Lindsey, Mccormick and Hensley",West Nicole
67,200,debit,5566.72,2024-07-10 20:20:37,Strickland and Sons,Wallaceland
68,25,debit,4890.16,2024-08-29 11:19:27,Hernandez-Griffin,Bethanystad
69,89,credit,14506.84,2023-11-07 23:26:15,Briggs-Wilson,Millermouth
70,268,debit,21523.31,2024-08-27 07:31:21,Moyer-Ramirez,East David
71,143,debit,12018.78,2022-08-21 16:17:23,Morris and Sons,Shieldsfort
72,59,debit,4179.46,2022-12-03 13:29:17,Saunders LLC,Frankville
73,26,credit,5677.08,2024-03-18 13:20:45,Snyder-Olson,Alisonhaven
74,47,debit,1547.26,2024-09-08 20:33:00,Guzman-Fields,South Lisaside
75,288,debit,1840.4,2024-06-25 23:00:30,Pham Ltd,North Thomas
76,266,debit,1794.77,2023-07-25 15:13:44,Reyes PLC,West Michelleville
77,16,credit,1399.36,2023-06-15 21:22:48,Ryan-Vasquez,North Jonathanview
78,199,credit,1979.4,2025-01-07 20:51:34,"Underwood, Cruz and Carpenter",East Kellyhaven
79,282,debit,2265.09,2024-01-15 21:05:50,Rose-Frank,Virginiaport
80,86,debit,1186.1,2022-09-30 06:19:17,"Robinson, Miller and Ward",Gonzalesland
81,250,credit,10223.76,2022-10-03 04:29:51,Mcknight Inc,South Charles
82,270,credit,46461.52,2023-09-26 17:56:21,Grant-Rosario,Huangview
83,117,credit,21135.09,2024-08-23 11:12:28,Brown LLC,New Patriciatown
84,7,credit,466.75,2025-01-29 21:19:44,Allison-Delacruz,Moralesmouth
85,137,credit,5500.15,2025-04-28 00:47:48,Phillips and Sons,Rebeccamouth
86,176,debit,19612.01,2025-05-26 09:36:00,"Bonilla, Durham and Sanchez",New Michaeltown
87,215,debit,1446.5,2024-07-16 16:57:51,Brown and Sons,West Adrian
88,82,debit,18815.43,2023-10-03 13:41:11,Hayden Ltd,Lake Tinaland
89,223,debit,8982.07,2024-10-27 09:29:46,Bennett Inc,Powellland
90,103,credit,26779.85,2022-07-29 09:05:25,"Hanna, Watson and Miles",Johnsonville
91,273,credit,20877.89,2022-12-30 15:59:47,"Perkins, Woods and Wheeler",Lake Natalie
92,14,credit,11302.09,2024-05-16 02:21:59,Johnson LLC,North Emilymouth
93,159,credit,10724.26,2023-02-09 17:40:16,Miller Inc,New Jeffrey
94,152,credit,2397.36,2023-08-31 12:28:44,Carroll Group,Lake Stephanieland
95,108,debit,1241.5,2024-02-04 21:23:36,Cannon Group,Martinbury
96,188,debit,5368.16,2024-04-03 02:36:58,"Taylor, Rose and Rush",Theodorefurt
97,98,debit,2065.08,2024-02-05 03:20:53,Jenkins-Rogers,Stephaniechester
98,131,debit,1080.49,2022-09-24 22:58:24,"Dominguez, Mitchell and Moore",Alexanderland
99,293,debit,3600.04,2024-03-29 22:58:48,"Johnson, Potter and Gordon",Lake Kimmouth
100,171,credit,19696.19,2022-10-04 03:30:41,Sanders Group,Melissafurt
101,183,credit,172.97,2024-12-18 13:51:19,"Vaughan, Gibson and Dawson",Lake Patriciamouth
102,39,credit,3462.12,2024-12-05 10:15:56,Ellison-Shaw,Port Kelly
103,15,credit,5517.38,2023-05-15 01:29:25,"Perez, Huynh and Nelson",South Mollyborough
104,4,credit,7145.13,2024-01-30 20:04:50,Boyd and Sons,Kathrynburgh
105,210,debit,2003.77,2024-11-22 01:51:37,"Lewis, Montgomery and Robinson",Susanland
106,161,debit,33303.72,2023-10-08 00:03:57,Carson PLC,West Nataliefort
107,16,debit,8648.21,2022-11-07 21:40:37,"Skinner, Velasquez and Mcdonald",Nataliefurt
108,108,credit,7383.76,2024-03-07 20:20:34,Delgado-Sullivan,Thomashaven
109,227,credit,88.62,2024-09-07 00:13:24,Martin-Pratt,East Jeremy
110,170,credit,6649.78,2024-06-15 06:38:34,"Coleman, Nelson and Garcia",Lake Ronaldport
111,34,credit,18181.28,2024-11-16 20:22:22,Morrison-Bradford,Lake Charles
112,251,debit,2480.06,2023-09-24 04:57:26,Allen and Sons,South Samanthaview
113,247,credit,4326.42,2025-03-10 20:20:41,"Rodriguez, Lewis and Smith",Brownhaven
114,269,debit,207.86,2025-06-07 15:18:52,Lopez-Harris,Coreymouth
115,141,credit,37691.14,2025-02-19 21:33:15,Allen Inc,East Joshua
116,274,debit,689.77,2023-01-17 05:48:38,"Cunningham, Elliott and Tyler",Myersberg
117,96,credit,22849.53,2023-02-01 13:08:00,Williams Inc,Port Karenport
118,227,credit,3754.03,2022-12-13 20:45:42,Smith-Kelly,Scottborough
119,39,debit,8856.56,2024-03-19 14:00:34,Benjamin-Porter,North Stacey
120,29,debit,11372.98,2024-02-16 10:03:25,Walton-Swanson,Beverlymouth
121,245,credit,1517.88,2023-12-25 10:13:51,Park Inc,South Arthurmouth
122,236,debit,5865.54,2024-11-29 05:41:34,Russell-Figueroa,Daleborough
123,185,credit,3937.33,2024-02-04 15:00:29,Shaw and Sons,Bairdville
124,272,credit,582.68,2023-02-25 18:53:30,Matthews Group,Lake Emily
125,236,debit,17909.22,2023-05-21 21:37:49,Willis-Christian,Newtonbury
126,239,credit,462.2,2025-02-06 13:39:41,Martin-Fleming,Port Francesfort
127,266,credit,10591.74,2024-09-14 13:40:40,Mcclure Inc,Lake Timothychester
128,65,debit,3769.9,2024-03-31 05:00:35,"Hall, Lewis and Maldonado",Shawnfurt
129,177,credit,2133.53,2024-08-31 12:28:13,Mack and Sons,North Angelahaven
130,3,credit,10998.71,2022-09-17 05:01:35,"Black, Chandler and Curtis",North Joshua
131,142,credit,8545.79,2022-09-25 01:14:46,West-Anderson,Cynthiaview
132,158,credit,3787.11,2022-09-15 03:01:57,Ward-Chase,Tracyfort
133,146,debit,7194.11,2023-02-14 13:18:03,Williams-Marquez,East Joseph
134,293,debit,2826.77,2023-12-16 00:52:19,"Hughes, Clark and Bishop",West Valerie
135,153,debit,19928.71,2024-07-21 14:40:36,Rubio PLC,Wrightfort
136,193,credit,3766.14,2024-09-30 10:20:29,"Gamble, Davis and Smith",North Elizabethhaven
137,73,debit,2812.4,2024-06-25 13:58:59,Payne-Novak,Ericstad
138,140,debit,13936.56,2023-03-05 01:07:30,Porter Group,North Elizabeth
139,187,debit,177.49,2025-02-12 11:14:42,Jackson-Phillips,Roblesmouth
140,293,credit,3119.91,2024-09-24 11:39:41,Ramirez LLC,West Tonyashire
141,61,debit,4706.36,2023-02-18 19:37:39,Davis-White,South Andrew
142,198,debit,21390.89,2023-12-08 03:40:03,Scott-Kennedy,New Markfurt
143,295,credit,30046.08,2025-02-23 01:03:03,Hines-Ramos,Adamstown
144,11,credit,12604.65,2023-11-23 11:52:30,Case PLC,Garytown
145,62,credit,6783.21,2023-03-26 02:43:48,Williams-Trevino,Jenniferstad
146,226,credit,10233.79,2024-03-18 02:37:24,Ortiz-Harvey,New Michaelshire
147,153,credit,5344.37,2025-02-28 09:01:07,"Anderson, Richardson and Kirk",New Carlos
148,199,credit,3549.99,2023-10-24 12:28:46,Brooks-Fleming,Sergioberg
149,52,debit,30095.89,2025-01-23 23:52:27,"Cole, Rich and Esparza",Sanderston
150,260,debit,1226.09,2023-12-21 05:07:33,Oliver Ltd,Shahburgh
151,59,credit,4252.5,2024-09-11 18:17:17,Figueroa and Sons,Chaseville
152,72,credit,22935.16,2024-09-15 11:44:01,"Nicholson, Smith and Farrell",New Michaelview
153,148,debit,12842.48,2024-10-20 15:16:55,Bennett-Hudson,Port Hannahfurt
154,63,credit,295.33,2024-08-15 15:01:17,Walker Group,Lake Tony
155,243,credit,233.71,2024-12-07 03:33:08,"Davis, Owens and Day",New Tiffanyton
156,107,debit,7267.3,2023-10-25 09:13:01,Rodriguez-White,Shawborough
157,226,credit,6621.39,2024-07-23 09:29:38,Lowery Group,Port Davidville
158,218,credit,5851.75,2022-08-11 12:29:07,Gonzalez-Murphy,Zunigamouth
159,241,debit,3600.29,2024-02-08 21:35:21,Peterson-Munoz,New Edgar
160,259,debit,43153.94,2023-12-13 05:43:18,Park Group,East John
161,262,debit,3174.37,2025-05-28 09:32:16,Ramirez Inc,East Markfort
162,5,debit,6734.23,2023-01-02 22:34:11,"Moore, Harrison and Bowman",Taylortown
163,261,debit,5190.14,2024-04-23 17:57:41,Carroll-Huerta,New Melissa
164,54,credit,1866.3,2025-01-08 10:12:28,Brown-Stokes,Martinezburgh
165,47,credit,2264.22,2023-11-06 15:16:32,Irwin-Lewis,Lyonsview
166,215,credit,25047.35,2025-06-19 12:20:28,Parrish Ltd,East Joshuaburgh
167,177,credit,19539.0,2025-03-20 04:44:45,Nelson-Reid,Delgadofort
168,9,credit,2219.5,2022-08-27 01:41:33,Thomas LLC,East James
169,99,debit,20847.57,2025-01-28 22:37:05,Miller-Russo,Hallfort
170,20,credit,2346.93,2024-07-22 22:13:13,Savage-Warren,Hectorville
171,241,credit,9849.61,2023-09-02 03:54:24,"Orozco, White and Brown",Jennifertown
172,61,credit,847.74,2025-04-30 02:25:03,Peterson-Mullins,Jacobmouth
173,178,credit,21233.49,2024-12-31 07:18:03,Gonzalez Group,South Jose
174,62,credit,528.74,2024-12-29 23:59:09,Alvarez-Barker,Debramouth
175,145,debit,8095.53,2023-07-05 03:38:27,Sheppard Group,New Jennaport
176,216,credit,15128.17,2022-10-04 10:52:26,Gaines-Hudson,West Brent
177,3,credit,1242.43,2025-01-08 03:32:21,Hoffman PLC,Wendyberg
178,160,credit,5183.21,2024-08-01 00:38:37,Miller Ltd,Jeremytown
179,227,credit,428.55,2023-04-07 13:21:54,"Jensen, Morris and Downs",Michaelside
180,269,credit,11480.73,2024-10-08 01:00:45,"Newton, Doyle and Stewart",Snyderbury
181,120,credit,3673.74,2025-03-19 19:58:31,Mosley and Sons,Phillipsburgh
182,89,debit,8196.07,2025-03-05 09:38:24,Lin-Wilson,Clarkshire
183,68,credit,26990.75,2024-02-27 06:44:16,"Russell, Meyer and Smith",Shawnbury
184,98,debit,3650.79,2023-03-03 05:41:32,Harding-Mathews,South Susanland
185,267,debit,498.5,2025-06-08 03:33:10,"Cole, Montes and Davis",New Edgar
186,105,credit,11258.64,2023-07-27 21:57:25,Reese and Sons,West Dale
187,123,credit,15457.18,2022-09-03 17:14:55,Horton-Schroeder,East Dianaton
188,29,credit,31669.61,2024-12-22 03:10:53,"Gray, Bailey and Farley",North Thomasborough
189,137,debit,1717.39,2025-07-08 21:31:38,"Ray, Smith and Cervantes",Soniaton
190,195,credit,4978.11,2023-01-03 09:25:00,Turner LLC,Port Jorge
191,226,credit,18588.0,2023-05-09 01:10:12,"Fuentes, Martinez and Porter",Stephanieport
192,170,credit,16443.99,2022-08-15 02:15:03,Gutierrez-Bell,East Jasonberg
193,9,debit,9802.85,2024-05-31 19:19:27,"Simmons, Dickson and Rogers",East Melissa
194,40,debit,3138.46,2023-11-15 23:31:05,Ellis LLC,New Timothybury
195,25,credit,3341.24,2024-04-27 05:28:33,Tran and Sons,Oliviafort
196,261,debit,1323.93,2023-03-08 21:58:52,"Graham, Mitchell and Keller",Port Katherineshire
197,226,credit,25491.72,2024-04-18 04:29:00,"Kim, Campbell and Oliver",Jamieville
198,124,debit,1898.68,2025-06-23 07:55:49,Cowan Inc,South Alexander
199,38,credit,8507.06,2023-05-29 09:50:51,Banks PLC,Annamouth
200,251,debit,8779.15,2024-04-14 04:11:36,Garcia-Brady,South Christine
201,176,credit,4614.09,2024-09-03 05:24:06,"Ho, Garcia and Wallace",East Stephanieville
202,90,credit,4346.65,2025-02-20 13:46:08,"Shaffer, Contreras and Christian",Cabreraside
203,37,debit,11043.94,2024-07-18 06:56:26,Walker Group,East Nicholas
204,176,debit,4915.1,2022-10-21 10:13:45,"James, Gonzalez and Harrison",New Adamborough
205,284,debit,2945.26,2023-02-16 04:18:10,Bell Group,Jonesville
206,81,debit,5093.8,2024-09-29 10:07:35,Odonnell-Newman,North Sara
207,114,debit,16485.01,2023-06-03 18:28:25,"Foster, Ayers and Casey",Josephside
208,40,credit,33955.67,2024-12-03 23:35:21,"Campbell, Hobbs and Baker",New Aaron
209,224,credit,10104.65,2023-12-03 14:56:22,Nunez-Smith,Littlemouth
210,115,debit,15237.25,2025-05-10 09:49:09,Johnson-Johnson,New David
211,186,credit,7610.51,2024-07-28 19:10:39,Randall-Stone,Port Jason
212,56,credit,9803.58,2024-10-09 23:25:22,"Greene, Rogers and Haley",Lake Johnview
213,40,debit,44300.96,2024-02-22 01:15:38,Allen-Beltran,Jacksonstad
214,40,credit,5769.99,2023-11-16 01:45:33,Jensen Group,Kylemouth
215,237,credit,685.52,2023-04-11 16:55:24,Solis PLC,Khantown
216,289,debit,31467.16,2024-06-29 17:42:47,Anderson-Fields,West Robinstad
217,262,debit,15753.35,2024-10-21 20:37:56,"Thompson, Strong and Holmes",Debrahaven
218,216,credit,5080.14,2023-12-30 11:05:27,Hall-Mckinney,Port James
219,147,debit,40395.75,2024-11-11 06:45:23,Gordon Ltd,Andreaville
220,168,credit,4239.38,2024-01-18 00:59:27,"Mueller, Cameron and Burton",Port Williamside
221,92,debit,4654.07,2025-05-31 14:25:17,Hood-Moore,New Denise
222,59,debit,9409.2,2025-06-08 04:15:39,Harris-Davis,New Victoria
223,59,debit,3206.84,2025-04-11 00:30:58,Smith-Carrillo,Port Sarahside
224,169,debit,11992.22,2025-06-27 16:48:30,Johnson Ltd,Travisshire
225,269,credit,1658.78,2023-08-31 08:21:04,"Knapp, Miller and Reyes",West Zachary
226,45,debit,1143.18,2025-02-18 09:31:05,"Gross, Lucero and Walters",Jeffreyland
227,181,debit,7654.56,2024-08-06 19:45:26,Lopez-Delgado,Ronaldport
228,170,credit,8107.91,2023-05-11 08:20:32,Phillips PLC,West Nicolebury
229,191,credit,1127.83,2023-08-03 15:06:51,Barber Group,Lake Arthur
230,155,credit,33291.45,2023-09-23 02:19:37,Hopkins-Hill,South Robertfort
231,188,credit,8516.43,2024-11-29 15:11:35,Burton Ltd,Lake Pamelafurt
232,7,debit,1637.37,2023-10-23 09:04:12,"Camacho, Rodriguez and Ho",Port Rebecca
233,133,credit,3731.56,2023-06-30 23:51:55,Rodriguez LLC,North Ashleyland
234,235,debit,16106.1,2023-10-22 00:05:23,Kline-Davis,Terryville
235,45,credit,7407.24,2023-10-08 15:04:11,Kirk-Durham,Matthewbury
236,249,debit,2084.38,2025-07-15 16:49:35,Myers Group,New Johnborough
237,31,credit,1085.31,2023-06-03 16:05:27,Gutierrez Group,Port Jameston
238,23,debit,5634.78,2025-06-22 22:13:25,"Jones, Mcdaniel and Brooks",South Trevor
239,160,debit,4116.06,2025-07-15 20:04:55,Schultz-Hayes,South Alanborough
240,158,credit,10668.73,2024-08-14 07:34:15,White Inc,Armstrongborough
241,39,debit,25935.66,2023-11-21 04:21:01,Keller Ltd,South Connorside
242,82,debit,2846.6,2024-07-31 00:34:58,"Bond, Wilson and Cooper",North Paula
243,258,debit,19326.36,2024-01-09 12:32:22,Webb-Mendez,Tracistad
244,206,debit,25315.2,2024-12-03 08:42:23,"Smith, Boyd and Scott",North Thomas
245,77,credit,23228.14,2023-09-14 11:27:02,Lee Inc,South Ianview
246,12,debit,30381.67,2023-10-06 17:46:49,"Johnson, Hunt and Hernandez",Beltranport
247,295,debit,18458.48,2023-01-22 00:00:38,Wilson-Robinson,West Ryan
248,224,credit,9001.37,2024-12-23 12:58:46,Taylor-Miller,Sarahbury
249,13,credit,5273.72,2025-06-01 18:31:13,"Case, Adams and Olson",West Natasha
250,46,credit,6766.59,2024-11-06 11:50:18,Bailey PLC,Brucechester
251,155,debit,20605.19,2024-02-26 12:14:23,"Phillips, Mcgee and Simpson",Maryshire
252,113,debit,3586.75,2024-03-20 13:27:02,"Potts, Nielsen and Wright",West Jenniferbury
253,233,credit,1734.75,2024-01-03 19:46:04,Mcdaniel Ltd,Romanmouth
254,17,debit,1517.76,2023-03-01 05:14:25,Hayden-Garcia,East Andrewmouth
255,223,credit,17544.33,2023-10-10 21:04:28,"Collins, Bauer and Mckay",Lake Jessica
256,188,debit,14333.26,2022-09-20 00:34:01,Hamilton-Griffin,Thomastown
257,163,credit,6884.49,2023-10-06 11:51:03,"Burgess, Cabrera and Dean",West Heather
258,74,debit,3214.06,2022-11-16 10:38:44,"Reyes, Gonzalez and Gomez",Alexside
259,233,credit,11320.03,2024-01-05 17:34:56,"Weiss, Cole and Preston",New Cassandrachester
260,224,debit,391.91,2024-06-02 21:11:29,"King, Ortiz and Munoz",Joshuachester
261,60,credit,8398.57,2025-04-30 16:37:31,"Clements, Moreno and Sanders",Stephaniemouth
262,222,debit,5082.04,2023-08-19 01:08:20,White LLC,Port Jessicaview
263,37,debit,38103.53,2024-07-29 21:35:03,Gibbs-Howard,Wendyton
264,278,debit,7083.83,2023-06-14 02:13:16,Lewis LLC,Jorgestad
265,196,credit,8035.6,2023-05-26 13:51:21,Thomas-Edwards,West Sandramouth
266,242,debit,12460.55,2024-10-30 07:51:18,Flores Inc,Washingtonview
267,219,debit,6626.93,2023-09-10 20:46:30,"Murphy, Marshall and Pope",New Kristinton
268,192,debit,2543.36,2024-12-05 17:45:54,Hoffman Group,Lake Phillipfort
269,17,credit,7706.29,2025-07-02 03:21:43,Guzman-Rose,Carolynbury
270,12,debit,28872.16,2023-09-11 14:59:49,Hoffman Ltd,North Charlesview
271,193,credit,5274.82,2023-02-14 22:07:17,"Shah, Aguirre and Powers",West Morganstad
272,22,debit,11383.13,2023-01-02 08:28:36,"Stafford, Fisher and Avila",South Crystaltown
273,120,credit,38182.68,2025-02-27 02:19:05,Li-Gonzalez,Port Jonathanview
274,210,credit,17715.0,2025-01-13 06:50:29,Lang Group,Howardhaven
275,270,debit,10759.73,2023-07-23 09:17:48,Mooney Group,Adamton
276,192,credit,13317.93,2023-07-28 07:42:20,Martinez and Sons,North Pamelaton
277,175,credit,27564.52,2022-10-03 12:53:13,"Murphy, Reyes and Ray",West Jenniferview
278,285,debit,32126.98,2025-05-22 05:26:05,Smith-Logan,Johnathanmouth
279,204,credit,34727.41,2024-10-18 14:52:35,"Travis, Buck and Mitchell",Riceborough
280,164,credit,9825.42,2023-07-02 05:51:48,Johnson-Ferguson,Jessicaside
281,251,credit,4856.64,2025-04-02 16:30:44,"Williams, Newman and Jones",Bellstad
282,227,credit,1428.93,2023-07-13 08:59:27,Gallegos Group,Smithside
283,7,debit,4870.24,2022-10-06 05:13:30,"Turner, Stewart and Reed",Port Julian
284,29,credit,28639.23,2022-12-19 07:51:55,Hawkins LLC,Taylormouth
285,33,credit,22054.32,2024-04-18 17:12:23,Salazar-Long,Brownborough
286,134,debit,7416.23,2023-12-11 18:27:12,"Riggs, Snyder and Davidson",Lake Thomasmouth
287,79,debit,7700.44,2024-07-19 12:42:32,Cameron PLC,North Vanessaville
288,58,credit,3695.0,2022-12-19 20:48:01,Johnson Inc,Lake Patricia
289,26,debit,6060.67,2025-06-08 20:53:33,Taylor LLC,Gomezstad
290,226,debit,12533.33,2023-02-15 05:21:26,"Ramsey, Perez and Miller",New Emilystad
291,285,debit,5148.85,2022-07-24 17:23:34,"Barrera, Wood and Leach",Carolynport
292,4,debit,2082.35,2024-11-17 14:50:43,Villa Inc,North Matthew
293,99,debit,7783.99,2023-03-19 00:41:05,Ware-Williams,South Mirandaland
294,39,debit,2553.27,2024-04-08 18:49:26,Valentine Inc,Scottchester
295,271,debit,36607.8,2025-04-25 21:49:20,Murphy-Salazar,Timothyfort
296,285,debit,4948.54,2024-07-24 15:34:58,Nelson-Jackson,Humphreyville
297,157,debit,24042.3,2024-07-27 08:47:08,Silva Inc,Lake Sydneybury
298,75,credit,2556.07,2025-04-22 06:03:18,Flores and Sons,Lake John
299,288,credit,2097.45,2023-05-22 12:28:20,"Barron, Church and Gutierrez",Moraleston
300,130,credit,9594.62,2023-10-05 21:29:09,Barnett-Boyd,West Kyle
301,175,credit,15113.09,2023-11-27 14:12:52,Lane Ltd,Garciahaven
302,84,credit,8364.74,2023-10-03 01:16:11,Bray-Morris,Samanthaview
303,22,debit,2610.99,2025-04-15 01:02:04,"Webb, Davis and Miranda",Wheelerport
304,27,debit,386.31,2022-10-16 13:57:20,"Miller, Hansen and Salas",Kathleenhaven
305,195,credit,9630.91,2022-12-02 15:33:07,"Holland, Foley and Neal",West Felicia
306,236,credit,1404.55,2025-04-24 23:40:26,Bonilla Inc,Lake Amyburgh
307,92,debit,4203.4,2024-12-24 13:27:27,Smith and Sons,Port Christopherbury
308,21,credit,11263.48,2023-07-12 10:00:40,Cardenas-Lopez,Chenview
309,84,debit,1031.67,2024-10-25 00:08:15,Peterson PLC,Katrinaburgh
310,262,credit,1361.08,2022-09-12 14:47:38,"Palmer, Edwards and Blackburn",Goodmanmouth
311,147,debit,636.5,2023-04-14 15:06:09,"Gibson, Moore and Wagner",Lake Micheleport
312,257,credit,55414.41,2024-04-25 20:05:45,Robinson LLC,Andrewtown
313,58,debit,4895.16,2023-04-15 18:05:33,Hester-Parrish,Patrickside
314,15,credit,23622.84,2022-09-11 03:03:44,"Harris, Ross and Jones",Pennybury
315,162,credit,3475.53,2024-03-24 09:14:42,Martin-Parker,Lake Kaitlyn
316,163,debit,13991.87,2024-08-24 05:27:54,"Wong, Thomas and Walter",Castrofort
317,281,debit,2472.65,2023-05-02 02:24:56,"Rodriguez, Smith and Murray",South Ray
318,280,credit,6898.02,2023-10-09 08:19:32,Johnson-Stanley,Barnesview
319,12,credit,17407.76,2022-09-12 21:03:18,Bell-Wilson,Schaefermouth
320,274,debit,16946.39,2022-07-31 01:43:11,"Miller, Reynolds and Hernandez",West Johnberg
321,271,debit,15812.43,2023-10-23 05:04:57,"Jordan, Cook and Alexander",Danielville
322,208,debit,17357.63,2024-12-14 23:22:04,Davis-Wong,Martinezberg
323,27,credit,2375.88,2025-02-07 01:35:33,"Reilly, Lee and Lopez",Parkerchester
324,72,credit,6581.98,2022-12-30 08:40:27,Wheeler PLC,Reynoldsfurt
325,60,debit,6633.39,2023-12-19 03:29:24,"Snyder, Hamilton and Maldonado",Lake Cherylshire
